"","Univers","n"
"54","Федеральное бюджетное учреждение науки &quot;Центральный научно-исследовательский институт эпидемиологии&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека",7
"55","федеральное государственное автономное образовательное учреждение высшего образования &quot;Балтийский федеральный университет имени Иммануила Канта&quot;",24
"56","федеральное государственное автономное образовательное учреждение высшего образования &quot;Белгородский государственный национальный исследовательский университет&quot;",34
"57","федеральное государственное автономное образовательное учреждение высшего образования &quot;Волгоградский государственный университет&quot;",6
"58","федеральное государственное автономное образовательное учреждение высшего образования &quot;Дальневосточный федеральный университет&quot;",24
"59","федеральное государственное автономное образовательное учреждение высшего образования &quot;Казанский (Приволжский) федеральный университет&quot;",114
"60","федеральное государственное автономное образовательное учреждение высшего образования &quot;Крымский федеральный университет имени В.И. Вернадского&quot;",4
"61","Федеральное государственное автономное образовательное учреждение высшего образования &quot;Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации&quot;",11
"62","федеральное государственное автономное образовательное учреждение высшего образования &quot;Московский физико-технический институт (национальный исследовательский университет)&quot;",97
"63","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского&quot;",89
"64","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский технологический университет &quot;МИСиС&quot;",68
"65","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Томский государственный университет&quot;",96
"66","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Томский политехнический университет&quot;",93
"67","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Высшая школа экономики&quot;",87
"68","Федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Высшая школа экономики&quot;",4
"69","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Московский институт электронной техники&quot;",16
"70","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет ИТМО&quot;",47
"71","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский ядерный университет &quot;МИФИ&quot;",11
"72","федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский ядерный университет &quot;МИФИ&quot;&quot;",49
"73","федеральное государственное автономное образовательное учреждение высшего образования &quot;Новосибирский национальный исследовательский государственный университет&quot;",61
"74","федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский государственный профессионально-педагогический университет&quot;",1
"75","федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина&quot;",12
"76","федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова&quot; Министерства здравоохранения Российской Федерации",2
"77","федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский университет дружбы народов&quot;",15
"78","Федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский университет транспорта&quot;",1
"79","федеральное государственное автономное образовательное учреждение высшего образования &quot;Самарский национальный исследовательский университет имени академика С.П. Королева&quot;",18
"80","федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный университет аэрокосмического приборостроения&quot;",4
"81","федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный электротехнический университет &quot;ЛЭТИ&quot; им. В.И. Ульянова (Ленина)&quot;",15
"82","Федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный электротехнический университет &quot;ЛЭТИ&quot; им. В.И. Ульянова (Ленина)&quot;",6
"83","федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский политехнический университет Петра Великого&quot;",61
"84","федеральное государственное автономное образовательное учреждение высшего образования &quot;Северный (Арктический) федеральный университет имени М. В. Ломоносова&quot;",8
"85","федеральное государственное автономное образовательное учреждение высшего образования &quot;Северо-Восточный федеральный университет имени М.К. Аммосова&quot;",8
"86","федеральное государственное автономное образовательное учреждение высшего образования &quot;Северо-Кавказский федеральный университет&quot;",6
"87","Федеральное государственное автономное образовательное учреждение высшего образования &quot;Сибирский федеральный университет&quot;",22
"88","федеральное государственное автономное образовательное учреждение высшего образования &quot;Тюменский государственный университет&quot;",8
"89","федеральное государственное автономное образовательное учреждение высшего образования &quot;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина&quot;",116
"90","федеральное государственное автономное образовательное учреждение высшего образования &quot;Южно-Уральский государственный университет (национальный исследовательский университет)&quot;",16
"91","федеральное государственное автономное образовательное учреждение высшего образования &quot;Южный федеральный университет&quot;",63
"92","федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет)",17
"93","федеральное государственное автономное учреждение &quot;Национальный медицинский исследовательский центр здоровья детей&quot; Министерства здравоохранения Российской Федерации",2
"94","федеральное государственное автономное учреждение &quot;Национальный медицинский исследовательский центр нейрохирургии имени академика Н.Н. Бурденко&quot; Министерства здравоохранения Российской Федерации",7
"95","Федеральное государственное бюджетное научное учреждение «Институт стратегии развития образования Российской академии образования» (ФГБНУ «ИСРО РАО»)",1
"96","федеральное государственное бюджетное научное учреждение «Научно–производственный комплекс «Технологический центр»",2
"97","Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр Институт прикладной физики Российской академии наук»",4
"98","Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук»",4
"99","Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр фундаментальной и трансляционной медицины»",8
"100","Федеральное государственное бюджетное научное учреждение «Федеральный научно-клинический центр реаниматологии и реабилитологии»",2
"101","Федеральное государственное бюджетное научное учреждение «Федеральный научный центр – Всероссийский научно-исследовательский институт экспериментальной ветеринарии имени К.И. Скрябина и Я.Р. Коваленко Российской академии наук»",1
"102","Федеральное государственное бюджетное научное учреждение «Федеральный научный центр животноводства – ВИЖ имени академика Л.К. Эрнста»",1
"103","Федеральное государственное бюджетное научное учреждение «Федеральный научный центр исследований и разработки иммунобиологических препаратов им. М.П.Чумакова РАН»",6
"104","Федеральное государственное бюджетное научное учреждение «Федеральный научный центр пищевых систем им. В.М. Горбатова» РАН",6
"105","федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт защиты растений&quot;",10
"106","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт использования техники и нефтепродуктов в сельском хозяйстве&quot;",1
"107","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт коневодства&quot;",3
"108","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт радиологии и агроэкологии&quot;",3
"109","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт риса&quot;",1
"110","федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт рыбного хозяйства и океанографии&quot;",3
"111","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт селекции плодовых культур&quot;",2
"112","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт сельскохозяйственной биотехнологии&quot;",5
"113","Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт сельскохозяйственной микробиологии&quot;",22
"114","федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт фитопатологии&quot;",6
"115","Федеральное Государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт цветоводства и субтропических культур&quot;",1
"116","федеральное государственное бюджетное научное учреждение &quot;Дальневосточный научный центр физиологии и патологии дыхания&quot;",2
"117","федеральное государственное бюджетное научное учреждение &quot;Институт возрастной физиологии Российской академии образования&quot;",1
"118","федеральное государственное бюджетное научное учреждение &quot;Институт экспериментальной медицины&quot;",9
"119","федеральное государственное бюджетное научное учреждение &quot;Иркутский научный центр хирургии и травматологии&quot;",1
"120","Федеральное государственное бюджетное научное учреждение &quot;Медико-генетический научный центр имени академика Н.П. Бочкова&quot;",1
"121","Федеральное государственное бюджетное научное учреждение &quot;Медико-генетический научный центр&quot;",4
"122","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт аэрокосмического мониторинга &quot;АЭРОКОСМОС&quot;",1
"123","Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт биомедицинской химии имени В.Н. Ореховича&quot;",23
"124","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт вакцин и сывороток им. И.И. Мечникова&quot;",4
"125","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт комплексных проблем сердечно-сосудистых заболеваний&quot;",6
"126","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт молекулярной биологии и биофизики&quot;",2
"127","Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт общей патологии и патофизиологии&quot;",9
"128","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт по изысканию новых антибиотиков имени Г.Ф.Гаузе&quot;",7
"129","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт фаpмакологии имени В.В.Закусова&quot;",2
"130","Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт физиологии и фундаментальной медицины&quot;",7
"131","федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт фундаментальной и клинической иммунологии&quot;",6
"132","федеральное государственное бюджетное научное учреждение &quot;Научный центр неврологии&quot;",10
"133","федеральное государственное бюджетное научное учреждение &quot;Научный центр проблем здоровья семьи и репродукции человека&quot;",1
"134","федеральное государственное бюджетное научное учреждение &quot;Научный центр психического здоровья&quot;",3
"135","Федеральное государственное бюджетное научное учреждение &quot;Национальный исследовательский институт мировой экономики и международных отношений имени Е.М. Примакова Российской академии наук",7
"136","Федеральное государственное бюджетное научное учреждение &quot;Поволжский научно-исследовательский институт производства и переработки мясомолочной продукции&quot;",3
"137","федеральное государственное бюджетное научное учреждение &quot;Полярный геофизический институт&quot;",3
"138","федеральное государственное бюджетное научное учреждение &quot;Полярный научно-исследовательский институт морского рыбного хозяйства и океанографии им. Н. М. Книповича&quot;",1
"139","федеральное государственное бюджетное научное учреждение &quot;Почвенный институт имени В.В. Докучаева&quot;",7
"140","федеральное государственное бюджетное научное учреждение &quot;Психологический институт Российской Академии Образования&quot;",3
"141","федеральное государственное бюджетное научное учреждение &quot;Российский научный центр хирургии имени академика Б.В. Петровского&quot;",2
"142","Федеральное государственное бюджетное научное учреждение &quot;Северо-Кавказский федеральный научный аграрный центр&quot;",1
"143","федеральное государственное бюджетное научное учреждение &quot;Технологический институт сверхтвердых и новых углеродных материалов&quot;",3
"144","федеральное государственное бюджетное научное учреждение &quot;Томский национальный исследовательский медицинский центр Российской академии наук&quot;",34
"145","Федеральное государственное бюджетное научное учреждение &quot;Уральский федеральный аграрный научно-исследовательский центр Уральского отделения Российской академии наук&quot;",2
"146","Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр &quot;Красноярский научный центр Сибирского отделения Российской академии наук&quot;",40
"147","Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр вирусологии и микробиологии&quot;",2
"148","федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Всероссийский институт генетических ресурсов растений имени Н. И. Вавилова&quot;",2
"149","Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт прикладной физики Российской академии наук&quot;",132
"150","федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;",46
"151","Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;",25
"152","Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр угля и углехимии Сибирского отделения Российской академии наук&quot;",6
"153","Федеральное государственное бюджетное научное учреждение &quot;Федеральный научный центр биологических систем и агротехнологий Российской академии наук&quot;",6
"154","Федеральное государственное бюджетное научное учреждение &quot;Федеральный научный центр животноводства - ВИЖ имени академика Л.К. Эрнста&quot;",18
"155","Федеральное государственное бюджетное научное учреждение &quot;Федеральный научный центр кормопроизводства и агроэкологии имени В.Р. Вильямса&quot;",1
"156","федеральное государственное бюджетное научное учреждение &quot;Центральный научно-исследовательский институт туберкулеза&quot;",6
"157","Федеральное государственное бюджетное научное учреждение 0«Федеральный научный центр животноводства – ВИЖ имени академика Л.К. Эрнста»",3
"158","Федеральное государственное бюджетное научное учреждение Уфимский федеральный исследовательский центр Российской академии наук",40
"159","Федеральное государственное бюджетное научное учреждение Федеральный научный центр &quot;Всероссийский научно-исследовательский и технологический институт птицеводства Российской академии наук&quot;",2
